streetAddress,addressLocality,postalCode,addressCountry,latitude,longitude
Killarney Road,Kenmare,V93 WYK5,IE,51.884160,-9.588340
Athone Road,Roscommon,F42 RY88,IE,53.628990,-8.186484
Lissycasey,Ennis,V95 A46D,IE,52.740310,-9.170713
Bundoran Road,Tullaghan,F91 A03V,IE,54.468114,-8.328901
Ballytrasna,Little Island,T45 FK75,IE,51.903769,-8.351873
Upper Church Street,Listowel,V31 DW99,IE,52.448141,-9.478240
Main Street,Patrickswell,V94 X4KA,IE,52.596804,-8.710371
Kilmacrennan Road,Letterkenny,F92 AKW3,IE,54.977051,-7.725498
Kylemore,Connemara,H91 N5Y6,IE,53.563416,-9.836345
O'Leary's Filling Station,Blarney,T23 HY50,IE,51.925371,-8.609280
Emo,Portlaoise,R32 A256,IE,53.092352,-7.179380
Main Street,Ballymahon,N39 R8X9,IE,53.566951,-7.769199
Falcarragh Service Station,Falcarragh,F92 R2VN,IE,55.137240,-8.098946
Dublin Road,Trim,C15 V4KW,IE,53.553097,-6.761237
Kinvara,Galway,H91 Y8DD,IE,53.139044,-8.941202
Main Street,Dromore West,F26 P2Y0,IE,54.249353,-8.873922
Gortahork,Letterkenny,F92 DHD9,IE,55.120500,-8.133505
Ballinlough Road,Ballyhaunis,F35 C854,IE,53.761330,-8.757703
Church Road,Greystones,A63 Y825,IE,53.149609,-6.071084
Iveragh Road,Killorglin,V93 H3VP,IE,52.106272,-9.793376
"Junction 23, M7",Moneygall,E53 F342,IE,52.909547,-7.950872
Strandhill road,Lareasa,F91 C79E,IE,54.270840,-8.582462
Main Street,Muff,F93 P2FV,IE,55.069466,-7.268442
Forthenry,Killaloe,V94 TR9X,IE,52.791425,-8.433636
Tullamore Road,Birr,R42 ND74,IE,53.102924,-7.906618
COROFIN,Corofin,H54 YF77,IE,53.437738,-8.861668
Derrymihan,Castletownbere,P75 AX79,IE,51.653360,-9.882607
SCARTAGLEN,Scartaglen,V93 XD61,IE,52.179100,-9.406290
Main Street,Ballingarry,V94 W4AY,IE,52.471811,-8.860620
Moorefield Road,Newbridge,W12 YF59,IE,53.176052,-6.803319
"Kilgorrive, Creagh",Ballinasloe,H53 Y5D0,IE,53.328888,-8.184890
"Bohercrow, Limerick rd",Tipperary Town,E34 HY24,IE,52.479720,-8.175528
Dublin Road,Knockanork,H12 V6H9,IE,53.964833,-7.229548
Charleville Road,Tullamore,R35 W6F8,IE,53.256239,-7.513588
"Dublin Road,",Clane,W91 YN28,IE,53.293374,-6.686523
Navan Rd,Dublin 15,D15 R26R,IE,53.378256,-6.349680
Dundalk Road,Dunleer,A92 WP22,IE,53.835285,-6.393948
Clara Road,Tullamore,R35 X0Y1,IE,53.278830,-7.498830
Dublin Road,Dundalk,A91 Y7WH,IE,53.969258,-6.389014
Lisduff,Virginia,A82 A0E2,IE,53.798911,-7.032177
Arklow Road,Gorey,Y25 T6K0,IE,52.679110,-6.287429
Callan Road,Kilkenny,R95 RV0C,IE,52.643319,-7.262237
Limerick Road,Nenagh,E45 FC44,IE,52.861619,-8.212318
Church Road,Newport,V94 X5NK,IE,52.712235,-8.409758
Market Street,Skibereen,P81 YV61,IE,51.547208,-9.263864
Cork Road,Bandon,P72 RR83,IE,51.752540,-8.716825
"Old Galway Road, Monksland,",Athlone,N37 P5Y9,IE,53.421443,-7.973837
Rochestown Road,Rochestown,T12 V4FP,IE,51.877129,-8.395923
Shinnagh,Ratoath,P51 HY8K,IE,52.084375,-9.220893
Tuam Road,Ballybane,H91 ENY3,IE,53.292153,-9.018944
"Clash Cross, Rathass",Tralee,V92 HX5K,IE,52.268977,-9.687212
15-21 Ushers Quay,Dublin 8,D08 X2P8,IE,53.345454,-6.277793
Ballybrit Service Station,Ballybrit,H91 TY4X,IE,53.290670,-9.006834
Main Street,Caherconlish,V94 NT9D,IE,52.593530,-8.472269
Dock Road,Limerick,V94 DH52,IE,52.660637,-8.635099
North Commons,Ard Fert,V92 A2XA,IE,52.323771,-9.777809
Dalys,Waterville,V23 H902,IE,51.849837,-10.171474
Bunclody Road,Tullow,R93 C4E0,IE,52.798183,-6.743511
Bective Street,Kells,A82 E8R2,IE,53.722915,-6.880947
Seamus Quirke Road,Galway City,H91 K76D,IE,53.277498,-9.072153
Carrickmacross Road,Shercock,A81 Y827,IE,53.997835,-6.891507
Moore Street,Cappamore,V94 P3VR,IE,52.614609,-8.336926
R741,Crosstown,Y35 H0KW,IE,52.359988,-6.452813
Castlefinn Road,Lifford,F93 HN2W,IE,54.828982,-7.484897
High Street,Gowran,R95 D26E,IE,52.630720,-7.061857
Castlebar Road,Westport,F28 FP76,IE,53.803759,-9.495199
